310,Iowa State,Big 12,Tyson Veidt,400000,40000,360000,360100,40000,4127500
311,Iowa State,Big 12,D.K. McDonald,400000,40000,360000,360000,40000,4127500
312,Iowa State,Big 12,Joel Gordon,400000,40000,360000,360000,40000,4127500
313,West Virginia,Big 12,Jahmile Addae,371000,11500,359500,359500,17250,3746980
314,Minnesota,Big Ten,Brian Callahan,380000,23385,356615,356615,38000,3619926
315,Minnesota,Big Ten,Matt Simon (Minn.),380000,23385,356615,356615,23385,3619926
316,Minnesota,Big Ten,Joe Harasymiak,380000,23385,356615,356615,23385,3619926
317,Louisiana State,SEC,Kevin Faulk,350000,4375,345625,356325,17500,7461950
318,Virginia,ACC,Garett Tujague,365000,9688,355312,355312,9688,3572868
319,Iowa State,Big 12,Eli Rasheed,390000,39000,351000,351000,39000,4127500
320,Oregon,Pac-12,Jim Mastro,375000,24219,350781,350781,24219,4770626
321,UCLA,Pac-12,Derek Sage,350000,0,350000,350000,0,4280800
322,Tennessee,SEC,Brian Niedermeyer,350000,0,350000,350000,0,6312292
323,Rutgers,Big Ten,Bob Fraser,350000,0,350000,350000,0,4142701
324,Kansas,Big 12,Kwahn Drake,350000,0,350000,350000,40000,2669930
325,Oklahoma,Big 12,DeMarco Murray,350000,0,350000,350000,0,6283333
326,Oklahoma State,Big 12,John Wozniak,350000,0,350000,350000,0,4736875
327,Utah,Pac-12,Fred Whittingham,350000,0,350000,350000,0,4255000
328,Utah,Pac-12,Lewis Powell,350000,0,350000,350000,0,4255000
329,Louisville,ACC,ShaDon Brown,350000,0,350000,350000,0,4555000
330,Kansas State,Big 12,Joe Klanderman,375000,26563,348437,348437,37500,3402607
331,Oklahoma State,Big 12,Tim Duffie,375000,28125,346875,346875,59375,4736875
332,Missouri,SEC,D.J. Smith,350000,8750,341250,341250,8750,4840875
333,Missouri,SEC,Casey Woods,350000,8750,341250,341250,8750,4840875
334,UCLA,Pac-12,Jimmie Dougherty,340400,0,340400,340400,0,4280800
335,Kentucky,SEC,Frank Buffano,340000,0,340000,340000,0,5781100
336,Colorado,Pac-12,Danny Langsdorf,350000,10938,339062,339062,17500,3319193
337,NC State,ACC,Kurt Roper,350000,13125,336875,336875,48125,3957436
338,Oregon,Pac-12,Bryan McClendon,360000,23250,336750,336750,39917,4770626
